o_adminnm,Euljiro,Gwanghee,Hoehyun,Hwanghak,Jangchoong,Jungrim,Myungdong,Pildong,Shindang,Dasan,Yaksu,Cheonggu,Shindang,Donghwa,Sogong,others
Euljiro,19.1,8,5.5,9.7,2,3.4,9.9,7,2.7,1.7,3.5,1.8,1.3,1.9,7.5,15
Gwanghee,7,30.4,4.4,3.9,2.4,2.8,6.8,4.9,6,3.7,3.9,3.2,1.6,0.9,0.7,17.4
Hoehyun,1.6,5.5,21.4,0.4,1.5,3,12.8,2.3,0.8,0.7,1.6,1.9,0.6,0.7,37.2,8
Hwanghak,7.8,2.4,0.2,62.7,0.2,0.2,1.8,1.4,9.9,3.1,2.7,0.9,1.2,0.6,0.3,4.6
Jangchoong,2.5,8.7,5.7,0.6,25.5,4.8,13.9,11.5,2.8,3.5,6.2,3.6,1.9,2,2.7,4.1
Jungrim,2.7,3.4,16.1,0,0,50.3,9.2,5.1,4.2,1.3,0.7,0.5,0.4,0,5.1,1
Myungdong,4.5,4.1,9.1,1.2,1.3,2.2,27.7,1.8,2.8,0.6,1.7,1.4,0.8,2.2,7.6,31
Pildong,2.3,6.2,6.4,0.9,2.6,0.3,6.4,52.1,3,1,1.8,3,0.9,1,3.4,8.7
Shindang,2.1,5,1.6,10.8,0.7,1.3,4,2.8,36.1,6.4,5.6,12.5,4.3,2.9,1.7,2.2
Dasan,0.9,3.7,0.9,3.6,1.2,0.6,2.3,0.9,11.6,43,10.5,8.5,3.4,3.5,2,3.4
Yaksu,2.5,5.8,4.1,4.3,3,0.4,4.7,2.6,21.3,12.7,13.6,9.9,3.2,5.4,0.8,5.7
Cheonggu,1.3,4.3,3.3,0.9,1.5,0.2,3.1,3.4,15.9,9,8.4,35.5,3.1,4.2,2.7,3.2
Shindang,1.9,4.7,4.4,2.7,2.1,0.2,3.4,2.8,15.3,7.1,6,6,33.7,7.4,1,1.3
Donghwa,2.8,4.3,4.9,1.9,2.5,0.3,2.3,3.2,12.4,9.1,8.7,8.8,8.8,27.3,2.3,0.4
Sogong,2.7,1.4,10.3,0.2,0.7,3.2,15.4,1.8,1.6,0.9,0.8,1,0.4,3.1,47.4,9.1
