o_adminnm,Anam,Bomun,Donam1,Donam2,Dongsun,Gireum1,Gireum2,Jangwi1,Jangwi2,Jangwi3,Jongam,Jungneung1,Jungneung2,Jungneung3,Jungneung4,Samsun,Seokgwan,Seongbuk,Wolgok1,Wolgok2,others
Anam,50.1,7.4,1.7,1.6,3.2,2.2,4.1,2.5,0.2,0.3,1.3,10.9,2.2,2.6,2.2,2,0.8,1.1,1.5,0.5,1.6
Bomun,13.7,49.4,2,1.6,2.6,2.3,10,0.9,1,0.2,0.2,2.4,0.1,2.6,0.9,3,0.2,1.5,3.2,2.2,0
Donam1,2.8,2,39.4,5.2,7.4,11.3,4,0.3,0,0.4,1.1,4,4.8,3.8,2,5.8,0.7,2.2,1.7,1,0.1
Donam2,4,1.7,6.9,13.3,15.8,4.9,1.9,0.3,0.3,0.2,3.3,22.5,4.6,6.3,1.7,5.4,0.1,5.5,0.3,0.6,0.4
Dongsun,3.6,1.1,4.1,5.6,50.8,1.9,2.7,0.5,0.7,0.1,1.6,3.1,0.9,12,0.6,8.7,0.1,1.4,0.2,0.1,0.2
Gireum1,3.4,2.4,10.6,4.4,2.2,16.9,24,0.6,0.7,0.8,5.2,3.3,4.5,5.5,3.2,5.8,0.3,2.7,1.1,1.3,1.1
Gireum2,6,5.5,4,1.3,1.5,16,22.5,1.3,0.4,0.3,2.5,3.7,7.5,6.3,2.5,3.4,0.1,5,6.5,3.3,0.4
Jangwi1,3.9,0.8,0.6,0.3,0.9,0.3,1.2,32.4,16.3,14.7,0.3,2.3,0,6.2,1.9,0.5,3.7,0.7,3.9,8.5,0.6
Jangwi2,0,1.2,0.3,0.3,1.7,0.3,0.3,12.8,36.7,21.2,1.2,0.2,0.4,0.2,0.6,0.8,9.1,0,1.1,11.2,0.4
Jangwi3,0,0.6,0.2,0.2,0.5,1.2,0.4,17.2,29,30.6,0.3,0.2,0,0,0.9,1.3,9.6,0.7,2.1,4.9,0.1
Jongam,3.6,0.3,1.4,4.3,2.4,6.2,10.7,0.6,3.4,0,19.4,13.5,10.6,13.2,1.9,5.7,0.1,1.7,0.6,0.3,0.1
Jungneung1,4.3,1.4,3.4,21.2,3.3,1.8,3.8,6.2,0.1,0.1,9.6,14.8,12.3,10.5,1,2.9,0.7,1.5,0.4,0.6,0.1
Jungneung2,1.3,0,1.8,2,0.9,2.6,7.2,0,0.3,0,8.7,7.2,33.7,31.2,0.1,1,0,0.6,0.3,0.1,1
Jungneung3,2.3,0.6,2.2,3.4,2.7,2.8,6.3,0.8,0.1,0,6.9,8.5,15.2,41.6,0.6,2,0.1,1.3,0.6,1,1
Jungneung4,3.3,0.8,1.3,1,0.8,2.5,3,1.1,0.8,0.5,0.9,0.8,0,0.6,67.8,0.7,2.3,0.5,2.6,8,0.7
Samsun,5.3,2,3.2,3.5,7.9,2.4,1.8,0.4,2.9,1.1,2.2,4.2,1.3,2.8,1.1,49.6,0.4,6.5,0.7,0.6,0.1
Seokgwan,1,0.4,0.4,0,0,0.1,0,3,6.2,4.9,0.1,0.6,0.1,0.2,1.5,0.3,74.8,0.2,1.2,3.2,1.8
Seongbuk,0.9,1.6,1.1,3.2,3.5,7,1.9,0.7,0,0.2,1.2,1.4,1.1,0.5,0.1,9.7,0.3,64.3,0.7,0.4,0.2
Wolgok1,2.4,1,1.4,6.3,0.5,0.8,7.1,3.6,1.2,2.5,0.5,1.2,0.5,0.7,3.1,2.2,1.6,0.8,41,21.6,0
Wolgok2,0.6,1.1,0.5,0.1,0.2,0.5,2,3.7,6,2,0.2,0.3,0.1,0.6,4.2,0.7,2.2,0.2,12.6,62.1,0.1
