o_adminnm,Beon1,Beon2,Beon3,Insoo,Mia,Samgaksan,Samyang,Songchun,Songjung,Suyu1,Suyu2,Suyu3,Ui,others
Beon1,38.3,9.2,9.7,2.7,4.7,1.9,1.5,1.3,1.2,8.9,5.9,11.9,2.4,0.4
Beon2,18.9,39.1,21.1,0.4,4.7,0.9,1.7,1.2,3.6,1.8,0.7,2.4,3.4,0.1
Beon3,16.1,14.3,20.3,3.9,18.2,2.7,0.6,7,3.5,0.1,5.4,3,4,0.9
Insoo,2.4,0.3,0.8,56,5.8,1.2,4.1,1.6,0.7,7.6,6.9,8.4,3.9,0.3
Mia,4,2.5,7.8,3.2,30.7,7,8.2,11.2,10.9,3.5,3,3.9,3.8,0.3
Samgaksan,2.6,0.4,2.2,1.2,13.7,59,6.5,2.7,3.6,2.5,1.3,0.8,3.4,0.1
Samyang,2.4,1,0.4,4.5,10,7.4,51.9,8.8,2.3,2.8,1.2,5,2.3,0
Songchun,1.4,0.7,4.9,0.9,15.3,2,5.2,55.1,3.2,4.9,1.1,4.7,0.4,0.2
Songjung,0.9,1.2,1,1.6,8.1,0.6,0.9,2.4,74.5,2.7,3.6,1.1,1.2,0.2
Suyu1,6.5,1.1,0.4,8.6,6.1,2,2.7,4,8.9,32.3,10.9,10.9,5.7,-0.1
Suyu2,9.4,0.7,0.6,13.6,5.8,1.7,1.8,2.5,5.3,15.1,18.5,13.4,10.2,1.4
Suyu3,11.1,1.6,1.7,10.5,7.6,1.1,4.7,5.6,2.4,10.6,8.6,23.7,9.7,1.1
Ui,3.6,3.2,3.1,7.4,5.4,1.8,4,1.6,3.6,9.7,13.1,6.7,36.7,0.1
