no,type,date,Value,inc3per,dec3per,incsub,decsub
1,pm10,2010-03-31,55.36206701,55.36206701,55.36206701,0,0
2,pm10,2010-06-30,53.90833668,55.52558678,52.33819095,1.6172501,-1.570145729
3,pm10,2010-09-30,37.48859721,39.77165278,35.33659837,2.28305557,-2.151998841
4,pm10,2010-12-31,55.48175503,60.62641173,50.77366536,5.144656699,-4.708089668
5,pm10,2011-03-31,55.21687438,62.14707858,49.05947771,6.930204195,-6.157396667
6,pm10,2011-06-30,57.48989367,66.64654327,49.59128729,9.156649596,-7.898606377
7,pm10,2011-09-30,27.60749421,32.96479186,23.12084177,5.357297653,-4.486652443
8,pm10,2011-12-31,42.80752281,52.64785355,34.80643342,9.840330738,-8.001089392
9,pm10,2012-03-31,53.77251347,68.11741126,42.44851869,14.34489779,-11.32399478
10,pm10,2012-06-30,48.34146614,63.07464869,37.04970852,14.73318255,-11.29175762
11,pm10,2012-09-30,25.51745742,34.29332899,18.98738479,8.775871566,-6.53007263
12,pm10,2012-12-31,38.23936583,52.93222538,27.62493148,14.69285955,-10.61443435
13,pm10,2013-03-31,54.89430504,78.26615304,38.50176109,23.371848,-16.39254395
14,pm10,2013-06-30,51.1777022,75.15618106,34.84952489,23.97847886,-16.32817731
15,pm10,2013-09-30,33.92145229,51.30924019,22.42607611,17.3877879,-11.49537618
16,pm10,2013-12-31,41.33724381,64.40207895,26.53280381,23.06483514,-14.80444
17,pm10,2014-03-31,53.89933642,86.49261222,33.5882845,32.5932758,-20.31105192
18,pm10,2014-06-30,49.98842011,82.62324182,30.24381627,32.63482171,-19.74460384
19,pm10,2014-09-30,30.31163872,51.6035359,17.80489313,21.29189718,-12.50674559
20,pm10,2014-12-31,44.78118871,78.52408547,25.53808619,33.74289676,-19.24310252
21,pm10,2015-03-31,76.50044804,138.1683187,42.35644326,61.66787062,-34.14400478
22,pm10,2015-06-30,47.67562929,88.69071437,25.628,41.01508508,-22.04762929
23,pm10,2015-09-30,32.78421045,62.8179374,17.10983358,30.03372695,-15.67437687
24,pm10,2015-12-31,42.01442974,82.91911181,21.28836486,40.90468207,-20.72606488
