no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,54.94474328,54.94474328,54.94474328,0,0
2,pm10,2010-06-30,51.01205612,52.5424178,49.52626808,1.530361684,-1.485788042
3,pm10,2010-09-30,34.64822095,36.75829761,32.65927133,2.110076656,-1.988949624
4,pm10,2010-12-31,51.63386269,56.42171588,47.25229878,4.787853186,-4.381563909
5,pm10,2011-03-31,51.85516382,58.36344372,46.07264142,6.508279903,-5.782522398
6,pm10,2011-06-30,56.66295071,65.68788973,48.87795903,9.024939021,-7.784991678
7,pm10,2011-09-30,29.605775,35.35084363,24.79437047,5.745068629,-4.811404531
8,pm10,2011-12-31,33.88837975,41.6784326,27.55435391,7.790052846,-6.334025842
9,pm10,2012-03-31,52.63477774,66.67616168,41.55037959,14.04138394,-11.08439815
10,pm10,2012-06-30,51.86988953,67.67844091,39.75395124,15.80855138,-12.11593829
11,pm10,2012-09-30,31.67390272,42.56707666,23.56835827,10.89317394,-8.105544445
12,pm10,2012-12-31,36.12015111,49.99873658,26.09396568,13.87858547,-10.02618543
13,pm10,2013-03-31,55.90015432,79.7002536,39.20724354,23.80009928,-16.69291078
14,pm10,2013-06-30,49.97641941,73.39205678,34.03150977,23.41563737,-15.94490964
15,pm10,2013-09-30,32.86458333,49.71063106,21.72736122,16.84604773,-11.13722211
16,pm10,2013-12-31,40.61913671,63.28329148,26.07187819,22.66415477,-14.54725852
17,pm10,2014-03-31,53.87527066,86.45399374,33.57328752,32.57872308,-20.30198314
18,pm10,2014-06-30,50.32268799,83.17573569,30.44605383,32.8530477,-19.87663416
19,pm10,2014-09-30,31.39311594,53.44467847,18.44014702,22.05156253,-12.95296892
20,pm10,2014-12-31,37.38082622,65.54750505,21.31776286,28.16667883,-16.06306336
21,pm10,2015-03-31,62.70933642,113.260037,34.72063914,50.55070061,-27.98869728
22,pm10,2015-06-30,41.76406592,77.69346512,22.45024339,35.9293992,-19.31382253
23,pm10,2015-09-30,36.93500559,70.77129012,19.27610244,33.83628453,-17.65890315
24,pm10,2015-12-31,42.84684329,84.56195196,21.71014194,41.71510867,-21.13670135
